Question,Answer,Wrong1,Wrong2,Wrong3,Wrong4
Spending my life falling deeper in love with you,How Would You Feel (Paean),Dive,Photograph,Kiss Me,Be Like You
I was born inside a small town= I lost that state of mind,Eraser,Lay It All On Me,Nina,London Bridge,Drown Me Out
I'm well aware of certain things that will befall a man like me,Eraser,Nancy Mulligan,Bibia Be Ye Ye,Bracelona,Supermarket Flowers
Maybe I came on too strong= maybe I waited too long,Dive,Hearts Don't Break Around Here,New Man,Happier,Galway Girl
Don't tell me you need me if you don't believe it,Dive,Happier,How Would You Feel (Paean),The A Team,Hearts Don't Break Around Here
Every day that Satan tempts me= I try to take it in my stride,Eraser,Galway Girl,Perfect,Shape of You,Dive
I could fall or I could fly here in your aeroplane,Dive,Supermarket Flowers,How Would You Feel (Paean),One ,I'm a Mess
Darling= just dive right in and follow my lead,Perfect,Happier,How Would You Feel (Paean),The A Team,Hearts Don't Break Around Here
We were just kids when we fell in love,Perfect,Don't ,The Man,Sing,Barcelona
Fighting against all odds= I know we'll be alright this time ,Perfect,The Man,Thinking Out Loud,Tenerife Sea,Nina
Arthur on the table= with Johnny riding as shot gun,Galway Girl,The A Team,Thinking Out Loud,Afire Love,Bloodstream
In this packed out room= swear she was singing to me,Galway Girl,Shape of You,Don't,Afire Love,Drunk
I saw you in another's arms= only a month we've been apart,Happier,Shape of You,Dive,Castle on the Hill,Eraser
Walking down 29th and park,Happier,Nina,Sing,Afire Love,Don't
Let me remind you of the days when you used to hold my hand,New Man,Bracelona,Supermarket Flowers,How Would You Feel (Paean),Hearts Don't Break Around Here
You're still a young girl trying to be loved,New Man,Don't ,The Man,Sing,Barcelona
You act so differently= When you're with him I know you're lonely,New Man,Biblia Be Ye Ye ,What Do I Know?,New Man,Shape of You
Don't call me up= you need to show me,New Man,Shape of You,Wake Me Up,Perfect,What Do I Know?
She is the flint that sparks the lighter= and the fuel that will hold the flame,Hearts Don't Break Around Here,Kiss Me,Be Like You,Thinking Out Loud,Perfect
You should see the way she holds me when the lights go low,Hearts Don't Break Around Here,Dive,Photograph,Kiss Me,Be Like You
Daisies= daisies perched upon your forehead,Hearts Don't Break Around Here,New Man,Happier,Galway Girl,Perfect
You know the future's in the hands of you and me,What Do I Know?,Runaway,Don't ,The Man,Sing
I'll be sitting here with a song that I wrote,What Do I Know?,Small Bump,Give Me Love,I See Fire,Sing
Ain't got a soapbox I can stand upon,What Do I Know?,Don't,Thinking Out Loud,Bloodstream,Photograph
You are the one girl= and you know that it's true,How Would You Feel (Paean),Be Like You,Thinking Out Loud,Perfect,Happier
Memories of a life that's been loved,Supermarket Flowers,Save Myself,Nancy Mulligan,Bibia Be Ye Ye,Bracelona
Dad always told me= 'Don't you cry when you're down',Supermarket Flowers,The A Team,You Need Me= I Don't Need You,Lego House,Drunk
You got to see the person I have become,Supermarket Flowers,Thinking Out Loud,Bloodstream,Photograph,Castle On The Hill
I've got two left feet and a bottle of red wine,Barcelona,Supermarket Flowers,How Would You Feel (Paean),Hearts Don't Break Around Here,New Man
I was tired and fell asleep beneath an oak tree,Bibia Be Ye Ye,What Do I Know?,New Man,Shape of You,Runaway
Say you're with me= tomorrow's a brand new day,Bibia Be Ye Ye,Drown Me Out,Sofa,I See Fire,Lay It All On Me
She was working on a soldier's ward= never had I seen such beauty before,Nancy Mulligan,Bibia Be Ye Ye,Bracelona,Supermarket Flowers,Perfect
They gave me the heartache and in return I gave a song,Save Myself,Shape of You,Galway Girl,The A Team,You Need Me= I Don't Need You
I'm here again between the devil and the danger=  I guess it's just my nature,Save Myself,Photograph,Be Like You,Drunk,Perfect
